45,3,2026-05-03 11:23:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 03.05.2026 11:23 | by anonymous_ | 5 min
46,3,2026-05-03 12:26:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 03.05.2026 12:26 | by anonymous_ | 15 min
47,3,2026-05-03 13:29:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 03.05.2026 13:29 | by anonymous_ | 10 min
48,3,2026-05-03 14:28:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 03.05.2026 14:28 | by anonymous_ | 5 min
49,3,2026-05-03 15:27:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 03.05.2026 15:27 | by anonymous_ | 10 min
50,3,2026-05-03 16:25:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 03.05.2026 16:25 | by anonymous_ | 5 min
51,3,2026-05-03 17:24:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 03.05.2026 17:24 | by anonymous_ | 10 min
52,3,2026-05-03 18:23:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 03.05.2026 18:23 | by anonymous_ | 5 min
53,3,2026-05-03 19:27:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 03.05.2026 19:27 | by anonymous_ | 10 min
54,3,2026-05-03 20:28:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 03.05.2026 20:28 | by anonymous_ | 5 min
55,3,2026-05-03 21:23:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 03.05.2026 21:23 | by anonymous_ | 10 min
56,3,2026-05-03 22:24:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 03.05.2026 22:24 | by anonymous_ | 5 min
57,3,2026-05-03 23:27:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 03.05.2026 23:27 | by anonymous_ | 10 min
58,3,2026-05-04 00:23:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 04.05.2026 00:23 | by anonymous_ | 5 min
59,3,2026-05-04 01:24:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 04.05.2026 01:24 | by anonymous_ | 15 min
60,3,2026-05-04 02:26:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 04.05.2026 02:26 | by anonymous_ | 10 min
61,3,2026-05-04 03:27:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 04.05.2026 03:27 | by anonymous_ | 5 min
62,3,2026-05-04 04:27:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 04.05.2026 04:27 | by anonymous_ | 15 min
63,3,2026-05-04 05:28:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 04.05.2026 05:28 | by anonymous_ | 10 min
64,3,2026-05-04 06:23:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 04.05.2026 06:23 | by anonymous_ | 5 min
65,3,2026-05-04 07:25:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 04.05.2026 07:25 | by anonymous_ | 15 min
66,3,2026-05-04 08:23:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 04.05.2026 08:23 | by anonymous_ | 10 min
67,3,2026-05-04 09:24:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 04.05.2026 09:24 | by anonymous_ | 5 min
68,3,2026-05-04 10:23:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 04.05.2026 10:23 | by anonymous_ | 10 min
69,3,2026-05-04 11:23:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 04.05.2026 11:23 | by anonymous_ | 5 min
70,3,2026-05-04 12:29:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 04.05.2026 12:29 | by anonymous_ | 15 min
71,3,2026-05-04 13:27:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 04.05.2026 13:27 | by anonymous_ | 10 min
72,3,2026-05-04 14:24:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 04.05.2026 14:24 | by anonymous_ | 5 min
