id,crossing_id,captured_at,interval_minutes,total_vehicles,cars,motorcycles,buses,trucks,lane_breakdown,fps
25,5,2026-05-04 16:12:04.617342+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
26,5,2026-05-04 16:48:46.634573+02,5,1,1,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 1, ""by_type"": {""car"": 1}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
27,5,2026-05-04 16:53:46.716981+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",7.5
28,5,2026-05-04 16:58:46.851141+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",7
29,5,2026-05-04 17:03:50.633272+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
30,5,2026-05-04 17:08:50.671564+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",7
31,5,2026-05-04 17:13:50.680076+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",1.5
32,5,2026-05-04 17:18:50.70254+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",7
33,5,2026-05-04 17:23:50.774278+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",7
34,5,2026-05-04 17:28:50.869852+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",7
35,5,2026-05-04 17:41:16.915281+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",7
36,5,2026-05-04 17:46:17.721571+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
37,5,2026-05-04 17:51:17.854625+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",7
38,5,2026-05-04 18:06:39.02838+02,5,1,1,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 1, ""by_type"": {""car"": 1}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
39,5,2026-05-04 18:22:45.864537+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",3
40,5,2026-05-04 18:38:10.811708+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
