id,crossing_id,track_id,vehicle_type,lane,entered_at,exited_at,duration_sec,was_reassigned,frame_count,avg_confidence,notes
3422,5,1780,car,Kafasan L3,2026-05-06 18:32:27.239311+02,2026-05-06 18:32:30.023469+02,2.78,f,19,0.869,
3425,5,1755,car,,2026-05-06 18:32:37.401795+02,2026-05-06 18:32:49.042983+02,11.64,f,78,0.357,
3424,5,1785,car,,2026-05-06 18:32:44.826674+02,2026-05-06 18:32:48.892229+02,4.07,f,28,0.77,
3426,5,1787,car,Kafasan L3,2026-05-06 18:32:49.197624+02,2026-05-06 18:32:59.193569+02,10,f,67,0.856,
3427,5,1800,car,,2026-05-06 18:33:09.731503+02,2026-05-06 18:33:18.530056+02,8.8,f,59,0.351,
3429,5,1800,car,,2026-05-06 18:33:21.474524+02,2026-05-06 18:33:24.309599+02,2.84,f,20,0.43,
3432,5,1800,car,,2026-05-06 18:33:25.206605+02,2026-05-06 18:33:30.649505+02,5.44,f,37,0.417,
3431,5,1646,truck,Kafasan L2,2026-05-06 18:33:25.510734+02,2026-05-06 18:33:27.624317+02,2.11,f,15,0.687,lane_switch:Kafasan L2>Kafasan L1
3433,5,1806,car,Kafasan L2,2026-05-06 18:33:27.774581+02,2026-05-06 18:33:32.920194+02,5.15,f,35,0.847,lane_switch:Kafasan L2>Kafasan L3
3435,5,1646,truck,Kafasan L1,2026-05-06 18:33:31.106524+02,2026-05-06 18:33:33.824399+02,2.72,f,19,0.622,
3434,5,1800,car,,2026-05-06 18:33:31.71304+02,2026-05-06 18:33:33.824399+02,2.11,f,15,0.371,
3436,5,1646,truck,Kafasan L1,2026-05-06 18:33:34.274735+02,2026-05-06 18:33:37.445912+02,3.17,f,22,0.686,
3460,5,1646,truck,Kafasan L1,2026-05-06 18:33:37.752792+02,2026-05-06 18:40:07.767837+02,390.02,f,1221,0.901,
3437,5,1800,car,,2026-05-06 18:34:03.911315+02,2026-05-06 18:34:12.246274+02,8.33,f,57,0.383,
3465,5,1825,truck,Kafasan L1,2026-05-06 18:34:08.956122+02,2026-05-06 18:40:41.793521+02,392.84,f,1249,0.953,lane_switch:Kafasan L1>Kafasan L2>Kafasan L1>Kafasan L2
3438,5,1800,car,,2026-05-06 18:34:12.843624+02,2026-05-06 18:34:45.953354+02,33.11,f,68,0.394,
3439,5,1800,car,,2026-05-06 18:34:47.597812+02,2026-05-06 18:34:54.94088+02,7.34,f,50,0.386,
3440,5,1850,car,Kafasan L3,2026-05-06 18:34:54.317725+02,2026-05-06 18:34:56.728036+02,2.41,f,17,0.818,
3442,5,1800,car,,2026-05-06 18:34:56.429933+02,2026-05-06 18:35:34.317122+02,37.89,f,101,0.364,
3441,5,1859,car,Kafasan L3,2026-05-06 18:35:28.831327+02,2026-05-06 18:35:31.352525+02,2.52,f,18,0.784,
3443,5,1800,car,,2026-05-06 18:35:35.218279+02,2026-05-06 18:35:42.336631+02,7.12,f,49,0.377,
3444,5,1869,car,Kafasan L3,2026-05-06 18:35:41.732597+02,2026-05-06 18:35:45.228955+02,3.5,f,23,0.803,
3446,5,1800,car,,2026-05-06 18:35:44.760655+02,2026-05-06 18:36:59.21831+02,74.46,f,57,0.355,
3445,5,1871,car,Kafasan L3,2026-05-06 18:36:53.598509+02,2026-05-06 18:36:56.178905+02,2.58,f,18,0.784,
3447,5,1800,car,,2026-05-06 18:37:00.138845+02,2026-05-06 18:37:07.424158+02,7.29,f,49,0.377,
3448,5,1881,car,Kafasan L3,2026-05-06 18:37:06.812189+02,2026-05-06 18:37:10.187234+02,3.38,f,23,0.803,
3449,5,1800,car,,2026-05-06 18:37:09.729798+02,2026-05-06 18:37:19.054917+02,9.33,f,62,0.397,
3450,5,1886,car,Kafasan L3,2026-05-06 18:37:18.293733+02,2026-05-06 18:37:21.972385+02,3.68,f,25,0.771,
3451,5,1800,car,,2026-05-06 18:37:22.898141+02,2026-05-06 18:37:27.850279+02,4.95,f,33,0.379,
3452,5,1889,car,Kafasan L3,2026-05-06 18:37:26.758681+02,2026-05-06 18:37:39.887938+02,13.13,f,86,0.821,
3453,5,1890,car,,2026-05-06 18:37:40.201182+02,2026-05-06 18:37:44.723313+02,4.52,f,30,0.391,
3454,5,1890,car,,2026-05-06 18:37:45.032963+02,2026-05-06 18:38:34.802669+02,49.77,f,177,0.368,
3455,5,1890,car,,2026-05-06 18:38:35.755428+02,2026-05-06 18:39:15.785887+02,40.03,f,115,0.363,
3456,5,1890,car,,2026-05-06 18:39:19.117306+02,2026-05-06 18:39:22.762484+02,3.65,f,24,0.375,
3457,5,1897,truck,,2026-05-06 18:39:22.922589+02,2026-05-06 18:39:32.205084+02,9.28,f,58,0.355,
3458,5,1890,car,,2026-05-06 18:39:29.164429+02,2026-05-06 18:40:00.894603+02,31.73,f,64,0.351,
3459,5,1890,car,,2026-05-06 18:40:01.692225+02,2026-05-06 18:40:03.924856+02,2.23,f,15,0.324,
3461,5,1890,car,,2026-05-06 18:40:06.329169+02,2026-05-06 18:40:10.362425+02,4.03,f,26,0.358,
3464,5,1890,car,,2026-05-06 18:40:10.849078+02,2026-05-06 18:40:13.944863+02,3.1,f,20,0.368,
3477,5,1376,car,,2026-05-06 18:40:13.129923+02,2026-05-06 19:10:42.06501+02,1828.94,f,333,0.494,
3475,5,1148,car,,2026-05-06 18:40:13.292314+02,2026-05-06 19:10:41.422343+02,1828.13,f,329,0.543,
3466,5,1897,truck,,2026-05-06 18:40:36.58932+02,2026-05-06 18:40:42.59345+02,6,f,39,0.405,
3467,5,1921,car,Kafasan L3,2026-05-06 18:40:42.915683+02,2026-05-06 18:40:45.480046+02,2.56,f,17,0.821,lane_switch:Kafasan L3>Kafasan L2>Kafasan L3
3468,5,1926,car,,2026-05-06 18:40:47.738634+02,2026-05-06 18:40:52.671159+02,4.93,f,32,0.382,
3469,5,1926,car,,2026-05-06 18:40:54.302352+02,2026-05-06 19:10:08.495117+02,1754.19,f,52,0.355,
3470,5,1926,car,,2026-05-06 19:10:09.481699+02,2026-05-06 19:10:12.891799+02,3.41,f,17,0.356,
3471,5,1939,car,Kafasan L2,2026-05-06 19:10:12.194633+02,2026-05-06 19:10:15.203244+02,3.01,f,15,0.812,
3472,5,1926,car,,2026-05-06 19:10:13.321635+02,2026-05-06 19:10:23.786461+02,10.46,f,50,0.354,
3474,5,1948,truck,,2026-05-06 19:10:20.756936+02,2026-05-06 19:10:35.756964+02,15,f,72,0.675,
3473,5,1926,car,,2026-05-06 19:10:25.038751+02,2026-05-06 19:10:33.883035+02,8.84,f,43,0.366,
3476,5,1926,car,,2026-05-06 19:10:34.300744+02,2026-05-06 19:10:41.633545+02,7.33,f,36,0.354,
3482,5,1948,truck,,2026-05-06 19:10:36.188586+02,2026-05-06 19:11:08.845333+02,32.66,f,96,0.723,
3478,5,1961,truck,,2026-05-06 19:10:42.271983+02,2026-05-06 19:11:01.672252+02,19.4,f,20,0.459,
